"BehaviorSpace results (NetLogo 6.0.4)"
"as4.nlogo"
"experiment"
"01/06/2019 22:49:18:086 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","antenna-range","alpha","sensing-range","start_msg_tick","total-nodes","flooding","[step]","msg_reached_goal","number_of_msg_send","number_of_received"
"453","7","1.15","1.2","15","150","true","23","1","93","112"
"455","7","1.15","1.2","15","150","true","22","1","107","127"
"457","7","1.15","1.2","15","150","true","22","1","79","107"
"458","7","1.15","1.2","15","150","true","19","1","37","54"
"456","7","1.15","1.2","15","150","true","22","1","55","77"
"459","7","1.15","1.2","15","150","true","21","1","37","51"
"462","7","1.15","1.2","15","150","true","16","1","9","24"
"460","7","1.15","1.2","15","150","true","26","1","92","120"
"465","7","1.15","1.2","15","150","true","17","1","15","29"
"461","7","1.15","1.2","15","150","true","27","1","110","135"
"464","7","1.15","1.2","15","150","true","20","1","58","85"
